gridSize,budgetPlayer1,budgetPlayer2,winner,duration,movesCount,algorithmPlayer1,algorithmPlayer2,nodeCountPlayer1,nodeCountPlayer2,ravePlayerOne,ravePlayerTwo,seedPlayerOne,seedPlayerTwo
10,16,17,2,891408963,92,MCTS,MCTS,39746,41423,false,false,1743067648352,1743067648352
10,16,17,1,1063717100,97,MCTS,MCTS,39967,41672,false,false,1743067648227,1743067648227
10,16,17,1,992660187,91,MCTS,MCTS,39653,41391,false,false,1743067648432,1743067648432
10,16,17,1,1103399256,95,MCTS,MCTS,39821,41607,false,false,1743067648328,1743067648328
10,16,17,2,1048649104,90,MCTS,MCTS,39580,41257,false,false,1743067648417,1743067648417
10,16,17,2,833255073,74,MCTS,MCTS,37370,39046,false,false,1743067648656,1743067648656
10,16,17,1,950334636,97,MCTS,MCTS,39951,41670,false,false,1743067648574,1743067648574
10,16,17,1,1008474375,93,MCTS,MCTS,39784,41522,false,false,1743067648526,1743067648526
10,16,17,2,1058869383,86,MCTS,MCTS,39302,40994,false,false,1743067648479,1743067648479
10,16,17,2,1159178247,100,MCTS,MCTS,39951,41691,false,false,1743067648458,1743067648458
10,16,17,2,827478819,88,MCTS,MCTS,39426,40703,false,false,1743067648819,1743067648819
10,16,17,2,910843239,88,MCTS,MCTS,39498,41185,false,false,1743067648739,1743067648739
10,16,17,1,890855670,97,MCTS,MCTS,39989,41672,false,false,1743067648823,1743067648823
10,16,17,2,992732189,70,MCTS,MCTS,36470,38120,false,false,1743067648762,1743067648762
10,16,17,1,982255419,91,MCTS,MCTS,39772,41378,false,false,1743067648869,1743067648869
10,16,17,2,681993530,54,MCTS,MCTS,31590,32914,false,false,1743067649174,1743067649174
10,16,17,2,832804374,96,MCTS,MCTS,39858,41638,false,false,1743067649191,1743067649191
10,16,17,2,616563881,54,MCTS,MCTS,31590,32906,false,false,1743067649431,1743067649431
10,16,17,2,812276207,90,MCTS,MCTS,39686,41271,false,false,1743067649244,1743067649244
10,16,17,2,1021036366,96,MCTS,MCTS,39846,41610,false,false,1743067649107,1743067649107
10,16,17,2,1060359343,76,MCTS,MCTS,37772,39458,false,false,1743067649129,1743067649129
10,16,17,2,903625112,78,MCTS,MCTS,38142,39836,false,false,1743067649291,1743067649291
10,16,17,2,1018412498,90,MCTS,MCTS,39620,41349,false,false,1743067649183,1743067649183
10,16,17,2,953054656,98,MCTS,MCTS,39915,41679,false,false,1743067649467,1743067649467
10,16,17,1,970486306,95,MCTS,MCTS,39834,41612,false,false,1743067649489,1743067649489
10,16,17,2,945449716,90,MCTS,MCTS,39637,41349,false,false,1743067649525,1743067649525
10,16,17,2,938105593,86,MCTS,MCTS,39287,40994,false,false,1743067649535,1743067649535
10,16,17,1,946576479,95,MCTS,MCTS,39813,41607,false,false,1743067649538,1743067649538
10,16,17,2,1108915394,90,MCTS,MCTS,39686,41267,false,false,1743067649425,1743067649425
10,16,17,1,887746496,95,MCTS,MCTS,39794,41617,false,false,1743067649650,1743067649650
10,16,17,2,869762375,94,MCTS,MCTS,39820,41538,false,false,1743067649714,1743067649714
10,16,17,2,1084565984,90,MCTS,MCTS,39686,41362,false,false,1743067649618,1743067649618
10,16,17,2,973928583,98,MCTS,MCTS,39897,41680,false,false,1743067649755,1743067649755
10,16,17,2,881524288,72,MCTS,MCTS,36936,38504,false,false,1743067649856,1743067649856
10,16,17,1,1133923151,93,MCTS,MCTS,39746,41522,false,false,1743067649647,1743067649647
10,16,17,1,825612661,97,MCTS,MCTS,39839,41670,false,false,1743067650024,1743067650024
10,16,17,2,677023619,56,MCTS,MCTS,32312,33808,false,false,1743067650203,1743067650203
10,16,17,1,873639631,89,MCTS,MCTS,39620,41079,false,false,1743067650048,1743067650048
10,16,17,1,886018446,87,MCTS,MCTS,39449,41007,false,false,1743067650056,1743067650056
10,16,17,2,1134582980,92,MCTS,MCTS,39788,41448,false,false,1743067649852,1743067649852
10,16,17,2,939776527,88,MCTS,MCTS,39466,41071,false,false,1743067650129,1743067650129
10,16,17,1,923332362,97,MCTS,MCTS,39926,41676,false,false,1743067650195,1743067650195
10,16,17,2,992080400,88,MCTS,MCTS,39483,41187,false,false,1743067650190,1743067650190
10,16,17,2,774640347,90,MCTS,MCTS,39576,41334,false,false,1743067650484,1743067650484
10,16,17,1,910311597,97,MCTS,MCTS,39935,41670,false,false,1743067650471,1743067650471
10,16,17,2,917151909,88,MCTS,MCTS,39511,41201,false,false,1743067650538,1743067650538
10,16,17,1,1016005674,97,MCTS,MCTS,39849,41670,false,false,1743067650460,1743067650460
10,16,17,2,900607492,70,MCTS,MCTS,36470,38054,false,false,1743067650584,1743067650584
10,16,17,2,1057593397,98,MCTS,MCTS,39890,41683,false,false,1743067650473,1743067650473
10,16,17,1,1014788557,95,MCTS,MCTS,39722,41617,false,false,1743067650534,1743067650534
10,16,17,1,872084578,93,MCTS,MCTS,39785,41522,false,false,1743067650729,1743067650729
10,16,17,2,930191783,88,MCTS,MCTS,39447,41171,false,false,1743067650703,1743067650703
10,16,17,2,1227306640,96,MCTS,MCTS,39955,41622,false,false,1743067650420,1743067650420
10,16,17,2,929834908,84,MCTS,MCTS,39060,40748,false,false,1743067650738,1743067650738
10,16,17,2,850424434,72,MCTS,MCTS,36936,38600,false,false,1743067650880,1743067650880
10,16,17,2,889587296,94,MCTS,MCTS,39824,41574,false,false,1743067650850,1743067650850
10,16,17,1,1018105115,89,MCTS,MCTS,39637,41051,false,false,1743067650781,1743067650781
10,16,17,1,893769120,93,MCTS,MCTS,39729,41522,false,false,1743067650943,1743067650943
10,16,17,2,1087703972,100,MCTS,MCTS,39877,41692,false,false,1743067650922,1743067650922
10,16,17,1,862683173,95,MCTS,MCTS,39941,41601,false,false,1743067651183,1743067651183
10,16,17,2,988845153,66,MCTS,MCTS,35442,37058,false,false,1743067651069,1743067651069
10,16,17,2,1115354710,84,MCTS,MCTS,39060,40766,false,false,1743067650987,1743067650987
